video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=OQMReH1aLGA&pp=ygUDd3N1,/@KING5Seattle,KING 5 Seattle,"Hazing was the 'breaking point' for WSU freshman who died by suicide, parents say",7.5K,10 months,"John and Colleen Tyler of Redmond are speaking out for the first time about the death of their 19-year-old son Luke Tyler, ...",2024-01-28 19:44:12.913125
/shorts/b5bOo0FTOso,/@WSUPullman,WSU Pullman,People Who Go To WSU...,4K,9 months,Pullman reality is the best reality. #WSU #GoCougs.,2024-01-28 19:44:23.358173
/watch?v=gE4dOqkTt4c&pp=ygUDd3N1,/@CFBonFOX,CFB ON FOX,Colorado vs. Washington State Highlights | CBB on FOX,816K,2 months,"Check out the highlights as Deion Sanders, Shedeur Sanders and the Colorado Buffaloes took on the Washington State Cougars.",2024-01-28 19:44:23.367140
/watch?v=8YzE0t2SO8A&pp=ygUDd3N1,/@KristinaJohnsonVlogs,Kristina Johnson,"COLLEGE WEEKEND VLOG @ WSU- tailgate, football game, & sunset",22K,4 years,this vlog is such a typical college weekend vlog (especially if u actually go to WSU and aren't visiting like me) LOL! FOLLOW ME ...,2024-01-28 19:44:23.372436
/watch?v=oUP8Guq1ztQ&pp=ygUDd3N1,/@TheOfficialWSU,Walter Sisulu University,WSU INFRASTRUCTURE 2023,3.2K,9 months,Recent Infrastructure Upgrades Across WSU Campuses.,2024-01-28 19:44:23.376065
/watch?v=3WMZFcr7pz0&pp=ygUDd3N1,/@sophiajuliet.,Sophia Juliet,Productive College Day in my Life | freshman year @ washington state university,6.2K,2 years,Hello everybody! Today I take you along my day as a freshman at Washington State University. I show you what I eat in a day at ...,2024-01-28 19:44:23.379187
/watch?v=U6AN75jcDBg&pp=ygUDd3N1,/@WSUCougarAthletics,WSUCougarAthletics,WSU Football: Highlights at Colorado State 9/2/23,17K,4 months,"Washington State 50, Colorado State 24 #GoCougs | #WAZZU | #CVE23.",2024-01-28 19:44:23.386538
/watch?v=rPV-ws51uxA&pp=ygUDd3N1,/@drivethrutours1916,Drive Thru Tours,"20-Year-Old WSU Student Gets Busted for DUI in Pullman, WA",97K,7 months,"On January 15, 2022 at approximately 12:45 AM, Sergeant Keith Cooper of the Whitman County Sheriff's Office was on patrol on ...",2024-01-28 19:44:23.397368
/shorts/vUObnZII6mU,/@BestCollegeAidUSA,Best College Aid USA,Guaranteed Admissions at Washington State University #Shorts #CampusTour,26K,1 year,Guaranteed Admissions at Washington State University Washington State University offers assured admissions to students.,2024-01-28 19:44:23.412205
/watch?v=XFV2feKDK9E&pp=ygUDd3N1,/@WorldScienceFestival,World Science Festival,WSU: Special Relativity with Brian Greene,1M,3 years,"Physicist Brian Greene takes you on a visual, conceptual, and mathematical exploration of Einstein's spectacular insights into ...",2024-01-28 19:44:23.421771
/watch?v=KKhzU6t7rtU&pp=ygUDd3N1,/@irlcara,irlcara,College Freshman Dorm Tour 2021 || Regents Hall Washington State University || WSU,16K,2 years,Hey Friends! So excited to share this Dorm Tour with you guys!! I absoluetly loved living in Regents Hall this past year and am so ...,2024-01-28 19:44:23.430891
