video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=wVGdfwvon3s&pp=ygUYdW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9u,/@TaylorQuynh,Taylor Quynh,University of Washington's MAJOR Problem,3.7K,2 years,"This is my experience, and quite frankly, my rant about UW's major selection process. For the first year and a half, I existed as a ...",2024-01-28 19:41:44.436549
/watch?v=2ZOq7KC4u08&pp=ygUYdW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9u,/@UWVideo,UW Video,UW's Suzzallo Library,21K,9 years,"Suzzallo library has served generations of students, professors and visitors for nearly a century. It had a controversial beginning ...",2024-01-28 19:41:44.437690
/watch?v=ozQBRxjTAoA&pp=ygUYdW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9u,/@SeattleSports710,Seattle Sports,Instant reaction to the University of Washington hiring head coach Jedd Fisch,50K,13 days,Brock Huard reacts to the University of Washington making the signing of Jedd Fisch official as their new head coach. What can ...,2024-01-28 19:41:44.438903
/watch?v=zA0kiRc9Hoo&pp=ygUYdW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9u,/@KING5Seattle,KING 5 Seattle,Why is the University of Washington moving to the Big Ten?,4.8K,5 months,"KING 5's Paul Silvi describes what fueled the switch and what it means for UW, WSU and the Pac-12. READ MORE HERE: ...",2024-01-28 19:41:44.440072
/watch?v=o-SIKe_5DOY&pp=ygUYdW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9u,/@RN_Muskan_Vlogs,RN Muskan Vlogs,RN Muskan Vlogs | Cắt Dán Đồ Vật Bằng Giấy Thủ Công: con gấu,103K,3 weeks,RN Muskan Vlogs | Cắt Dán Đồ Vật Bằng Giấy Thủ Công: con gấu.,2024-01-28 19:41:44.441319
/watch?v=lufxQCutca4&pp=ygUYdW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9u,/@KING5Seattle,KING 5 Seattle,"University of Washington students wary after break-in, assault at home near campus",2.1K,1 year,"UW students became concerned after finding out about level 2 and level 3 sex offenders living near campus, who are at a higher ...",2024-01-28 19:41:53.702603
/watch?v=FeeqH4gvMMg&pp=ygUYdW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9u,/@kironewsradio,KIRO Newsradio 97.3 FM,Intense footage from pro-Palestine protests at the University of Washington,10K,3 months,Protesters clash at UW in Seattle over Mideast conflict. Listen to KIRO Newsradio 97.3fm!,2024-01-28 19:41:53.703841
/watch?v=7fL-jJCb_a8&pp=ygUYdW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9u,/@nicoleayn.s,Nicole Ayn,a day in the life of a university of washington engineering student!,40K,4 years,hi there! here's a sneak peek of my daily life as a university of washington engineering student. hope you enjoy! — socials ig: ...,2024-01-28 19:41:53.707216
/watch?v=JLafA9i1cJE&pp=ygUYdW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9u,/@nancyhe,Nancy He 何南希,COLLEGE MOVE IN DAY | University of Washington (freshman),21K,1 year,"collegemovein #movingout #dormroom #universityofwashington The video you've all been waiting for! In this video, I moved into a ...",2024-01-28 19:41:53.708450
/watch?v=a6-9cnhctLs&pp=ygUYdW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9u,/@universityofwashington,UW (University of Washington),New University of Washington Life Sciences Building opens,3.7K,5 years,"The University of Washington today opened the doors to a new Life Sciences Building that will transform learning, teaching and ...",2024-01-28 19:41:53.709796
