video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=x09Dga6oEzU&pp=ygUfZ2VvcmdpYSBpbnN0aXR1dGUgb2YgdGVjaG5vbG9neQ%3D%3D,/@georgiatech,Georgia Tech,2023 Georgia Tech Graduates: Sahya and Vijay Nara,1.2K,8 months,"Like daughter, like father – or like father, like daughter – either way works for the Naras. Sahya was the first in her family to attend ...",2024-01-19 22:03:13.169344
/watch?v=HAtSDqLB4I4&pp=ygUfZ2VvcmdpYSBpbnN0aXR1dGUgb2YgdGVjaG5vbG9neQ%3D%3D,/@ACCDigitalNetwork,ACC Digital Network,Georgia Tech's Wild Comeback In Clemson To Force Overtime,10K,2 days,The Georgia Tech Yellow Jackets were down by nine points with 1:43 left in the game and managed to force overtime in Clemson.,2024-01-19 22:03:13.177330
/watch?v=PFmaMdqZQQ8&pp=ygUfZ2VvcmdpYSBpbnN0aXR1dGUgb2YgdGVjaG5vbG9neQ%3D%3D,/@georgiatech,Georgia Tech,What to Expect When You’re Graduating – Georgia Tech Students,1.2K,1 year,"Congratulations, graduate! This video shares important reminders to have a smooth experience on event day.",2024-01-19 22:03:13.180579
/watch?v=YgtYFBLM7hs&pp=ygUfZ2VvcmdpYSBpbnN0aXR1dGUgb2YgdGVjaG5vbG9neQ%3D%3D,/@georgiatech,Georgia Tech,Tep Seth left her family and home country of Cambodia to pursue higher education in the U.S.,695,1 month,"At the age of 15, Tep Seth left her mother and father in Cambodia to live with her aunt and uncle in the United States. She found ...",2024-01-19 22:03:13.183686
/watch?v=0jqBJc4SBZo&pp=ygUfZ2VvcmdpYSBpbnN0aXR1dGUgb2YgdGVjaG5vbG9neQ%3D%3D,/@georgiatech,Georgia Tech,Georgia Tech Class of 2021,10K,2 years,"Over 4900 Georgia Tech students had their doctoral, graduate, and undergraduate degrees conferred at a memorable Fall ...",2024-01-19 22:03:13.186840
/watch?v=6xMVOaGCecU&pp=ygUfZ2VvcmdpYSBpbnN0aXR1dGUgb2YgdGVjaG5vbG9neQ%3D%3D,/@georgiatech,Georgia Tech,Georgia Tech 2010: Legendary Heritage. Limitless Future,66K,13 years,2010 promotional message from Georgia Tech.,2024-01-19 22:03:13.189938
/watch?v=tQaMVwPUUfg&pp=ygUfZ2VvcmdpYSBpbnN0aXR1dGUgb2YgdGVjaG5vbG9neQ%3D%3D,/@CBSMornings,CBS Mornings,12-year-old genius recruited by Georgia Tech,1.6M,3 years,Millions of Americans know characters like Young Sheldon and Doogie Howser as super-smart prodigies who are entertaining to ...,2024-01-19 22:03:13.192844
/watch?v=fgS93zoSQZs&pp=ygUfZ2VvcmdpYSBpbnN0aXR1dGUgb2YgdGVjaG5vbG9neQ%3D%3D,/@georgiatech,Georgia Tech,It's Time to Ramble On: Spring Commencement at Georgia Tech,3K,8 months,5673 graduates earned their degrees at Georgia Tech's 2023 Spring Commencement ceremony. Congratulations Yellow Jackets!,2024-01-19 22:03:13.195899
/watch?v=5E2joxmComI&pp=ygUfZ2VvcmdpYSBpbnN0aXR1dGUgb2YgdGVjaG5vbG9neQ%3D%3D,/@SinghinUSA,Singh in USA,TRANSFER from India to USA vs MASTERS | 4.0 GPA Denied at Georgia Tech,32K,4 years,"Majority of the students with 4.0 GPA while applying as a transfer applicant get denied at the top universities like Georgia Tech, ...",2024-01-19 22:03:13.198856
/watch?v=H3EwBq8TQac&pp=ygUfZ2VvcmdpYSBpbnN0aXR1dGUgb2YgdGVjaG5vbG9neQ%3D%3D,/@georgiatech,Georgia Tech,Georgia Tech PSA 2018 - What Will You Create Next?,13K,6 years,"At Georgia Tech, we never stop Creating the Next http://www.gatech.edu/creating-next. The intellectual curiosity we embrace, the ...",2024-01-19 22:03:13.201938
/watch?v=aXRP8GEQ0U4&pp=ygUfZ2VvcmdpYSBpbnN0aXR1dGUgb2YgdGVjaG5vbG9neQ%3D%3D,/@TylerSchott,Tyler Schott,A Day in My Life at Georgia Tech,14K,3 years,"Join me for a day in my life as a second-year CS student at Georgia Tech during Fall 2020. Life looks a little different right now, but ...",2024-01-19 22:03:13.204798
/watch?v=n7ovAbtGXpU&pp=ygUfZ2VvcmdpYSBpbnN0aXR1dGUgb2YgdGVjaG5vbG9neQ%3D%3D,/@georgiatechathletics,Georgia Tech Yellow Jackets,Georgia Tech Football: Time to Turn the Yellow Jackets Loose!,590K,9 years,Derrick Moore inspires the Jackets before they took the field and beat Miami 28-17 before 52221 fans at Bobby Dodd Stadium on ...,2024-01-19 22:03:13.212316
/watch?v=g9XI6HP0Q0s&pp=ygUfZ2VvcmdpYSBpbnN0aXR1dGUgb2YgdGVjaG5vbG9neQ%3D%3D,/@ms-hciatgeorgiatech5598,MS-HCI at Georgia Tech,MS-HCI at Georgia Tech,3.5K,6 years,Hear from students and faculty about their experience within the M.S. Human-Computer Interaction program at Georgia Tech.,2024-01-19 22:03:13.215549
/watch?v=GT5W0YvbbkQ&pp=ygUfZ2VvcmdpYSBpbnN0aXR1dGUgb2YgdGVjaG5vbG9neQ%3D%3D,/@georgiatech,Georgia Tech,Georgia Tech Tour Guide Training Camp,18K,10 years,Go to http://www.visits.gatech.edu for more information.,2024-01-19 22:03:13.221353
/watch?v=7BSOpjfqNmo&pp=ygUfZ2VvcmdpYSBpbnN0aXR1dGUgb2YgdGVjaG5vbG9neQ%3D%3D,/@georgiatech,Georgia Tech,Why You Should Apply to Georgia Tech 2017,8.9K,7 years,"Ready to apply to Georgia Tech? Visit http://admission.gatech.edu/apply. For more information about Georgia Tech, please visit.",2024-01-19 22:03:13.227230
/watch?v=FsMVQmdt9_k&pp=ygUfZ2VvcmdpYSBpbnN0aXR1dGUgb2YgdGVjaG5vbG9neQ%3D%3D,/@georgiatechgraduateeducati8263,Georgia Tech Graduate Education,Welcome to Tech: Georgia Tech Police Department (Updated),1.6K,4 years,This video is part of a series the Office of Graduate Studies at Georgia Tech has created to introduce new students to campus ...,2024-01-19 22:03:13.230296
